month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1930-05-01,37,17,40,2.3529411764705883,106.42818881455244
1930-06-01,51,20,40,2.0,146.69831431195067
1930-07-01,50,17,63,3.7058823529411766,143.82187677642222
1930-08-01,38,17,72,4.235294117647059,109.30462635008088
1930-09-01,25,14,44,3.142857142857143,71.91093838821111
1930-10-01,25,13,61,4.6923076923076925,71.91093838821111
1930-11-01,25,13,54,4.153846153846154,71.91093838821111
1930-12-01,25,14,85,6.071428571428571,71.91093838821111
1931-01-01,34,14,71,5.071428571428571,97.79887620796711
1931-02-01,41,14,51,3.642857142857143,117.93393895666622
1931-03-01,35,13,50,3.8461538461538463,100.67531374349555
1931-04-01,28,12,42,3.5,80.54025099479644
1931-05-01,24,12,76,6.333333333333333,69.03450085268267
1931-06-01,21,11,41,3.727272727272727,60.40518824609733
1931-07-01,20,12,55,4.583333333333333,57.52875071056888
1931-08-01,21,12,47,3.9166666666666665,60.40518824609733
1931-09-01,27,13,48,3.6923076923076925,77.66381345926798
1931-10-01,34,15,81,5.4,97.79887620796711
1931-11-01,36,14,54,3.857142857142857,103.55175127902399
1931-12-01,36,14,73,5.214285714285714,103.55175127902399
1932-01-01,35,13,60,4.615384615384615,100.67531374349555
1932-02-01,37,15,73,4.866666666666666,106.42818881455244
1932-03-01,35,15,99,6.6,100.67531374349555
1932-04-01,28,13,65,5.0,80.54025099479644
1932-05-01,21,11,53,4.818181818181818,60.40518824609733
1932-06-01,14,10,46,4.6,40.27012549739822
1932-07-01,12,12,70,5.833333333333333,34.517250426341334
1932-08-01,11,11,57,5.181818181818182,31.64081289081289
1932-09-01,18,11,48,4.363636363636363,51.775875639511995
1932-10-01,39,11,40,3.6363636363636362,112.18106388560932
1932-11-01,58,17,60,3.5294117647058822,166.83337706064975
1932-12-01,52,20,91,4.55,149.5747518474791
1933-01-01,74,22,91,4.136363636363637,212.85637762910488
1933-02-01,85,23,76,3.3043478260869565,244.49719051991775
1933-03-01,79,22,55,2.5,227.2385653067471
1933-04-01,80,19,41,2.1578947368421053,230.11500284227552
1933-05-01,89,22,62,2.8181818181818183,256.00294066203156
1933-06-01,82,20,55,2.75,235.86787791333245
1933-07-01,58,16,35,2.1875,166.83337706064975
1933-08-01,45,12,22,1.8333333333333333,129.43968909877998
1933-09-01,53,15,41,2.7333333333333334,152.45118938300755
1933-10-01,69,22,108,4.909090909090909,198.47418995146265
1933-11-01,84,26,134,5.153846153846154,241.62075298438933
1933-12-01,100,34,154,4.529411764705882,287.64375355284443
1934-01-01,101,37,166,4.486486486486487,290.5201910883728
1934-02-01,81,32,131,4.09375,232.991440377804
1934-03-01,66,32,132,4.125,189.84487734487732
1934-04-01,66,34,122,3.588235294117647,189.84487734487732
1934-05-01,57,30,115,3.8333333333333335,163.95693952512133
1934-06-01,47,26,95,3.6538461538461537,135.19256416983688
1934-07-01,46,25,88,3.52,132.31612663430843
1934-08-01,42,23,72,3.130434782608696,120.81037649219466
1934-09-01,41,24,75,3.125,117.93393895666622
1934-10-01,37,23,100,4.3478260869565215,106.42818881455244
1934-11-01,45,29,107,3.689655172413793,129.43968909877998
1934-12-01,38,26,107,4.115384615384615,109.30462635008088
1935-01-01,45,26,153,5.884615384615385,129.43968909877998
1935-02-01,54,27,122,4.518518518518518,155.32762691853597
1935-03-01,58,26,115,4.423076923076923,166.83337706064975
